"Year/State/Union Territory","Food grains (cereals) - Rice 2009-10","Food grains (cereals) - Rice 2010-11","Food grains (cereals) - Jowar 2009-10","Food grains (cereals) - Jowar 2010-11","Food grains (cereals) - Bajra 2009-10","Food grains (cereals) - Bajra 2010-11","Food grains (cereals) - Maize 2009-10","Food grains (cereals) - Maize 2010-11","Food grains (cereals) - Ragi 2009-10","Food grains (cereals) - Ragi 2010-11","Food grains (cereals) - Small millets 2009-10","Food grains (cereals) - Small millets 2010-11","Food grains (cereals) - Wheat 2009-10","Food grains (cereals) - Wheat 2010-11","Food grains (cereals) - Barley 2009-10","Food grains (cereals) - Barley 2010-11","Total cereals 2009-10","Total cereals 2010-11","Food grains(pulses) - Gram 2009-10","Food grains(pulses) - Gram 2010-11","Food grains(pulses) - Tur 2009-10","Food grains(pulses) - Tur 2010-11","Other Pulses 2009-10","Other Pulses 2010-11","Total Pulses 2009-10","Total Pulses 2010-11","Total food grains 2009-10","Total food grains 2010-11","Oilseeds - Ground nut 2009-10","Oilseeds - Ground nut 2010-11","Oilseeds - Sesamum 2009-10","Oilseeds - Sesamum 2010-11","Oilseeds - Rapeseed and mustard 2009-10","Oilseeds - Rapeseed and mustard 2010-11","Oilseeds - Linseed 2009-10","Oilseeds - Linseed 2010-11","Oilseeds - Castor seed 2009-10","Oilseeds - Castor seed 2010-11","Total oilseeds 2009-10","Total oilseeds 2010-11","Cotton 2009-10","Cotton 2010-11 #","Jute 2009-10","Jute 2010-11","Mesta 2009-10","Mesta 2010-11","Tea 2009-10","Tea 2010-11","Coffee 2009-10","Coffee 2010-11","Natural Rubber 2009-10","Natural Rubber 2010-11 P"," Banana 2009-10"," Banana 2010-11","Sugar cane 2009-10","Sugar cane 2010-11","Tobacco 2009-10 P","Tobacco 2010-11"," Potato 2009-10"," Potato 2010-11","Black Pepper 2009-10","Black Pepper 2010-11","Chillies 2009-10","Chillies 2010-11","Ginger 2009-10","Ginger 2010-11","Coconut 2009-10","Coconut 2010-11","Turmeric 2009-10","Turmeric 2010-11"
" 2009-10 P",21.3,22.4,8.6,9.5,7.3,10.8,20.2,25.4,14.9,17.1,4.6,8.2,28.4,29.9,21.7,23.6,20.8,22.6,9.2,9.0,7.1,6.6,4.5,5.6,6.3,6.9,18.0,19.3,9.9,14.1,3.0,4.3,11.8,11.9,4.5,4.1,13.7,15.3,9.6,11.9,4.0,5.0,24.9,23.3,11.2,11.2,17.1,"NA",8.2,8.4,17.8,18.1,34.4,35.9,700.2,700.9,15.6,"16.9P",19.9,22.7,2.6,2.8,15.7,15.4,35.8,47.1,57.1,57.2,43.8,50.9
" Andhra Pradesh",30.62,30.35,11.35,12.13,11.78,15.07,35.27,53.17,11.78,11.9,5.2,9.7,10.0,13.0,"NA","NA",29.29,32.0,13.08,12.3,4.38,4.2,8.11,8.11,7.4,6.8,22.94,25.3,7.73,9.0,2.22,2.1,5.0,5.2,"NA","NA",4.32,6.4,7.24,8.6,3.74,4.8,"NA","NA",15.02,16.1,"NA","NA","NA","NA","NA","NA",35.0,35.0,741.01,779.4,"NA",17.9,"NA",20.0,"NA",2.0,32.87,30.0,44.15,71.9,"NA","NA",63.64,62.0
" Arunachal Pradesh",17.76,19.25,"NA","NA","NA","NA",13.63,14.35,"NA","NA",8.6,9.3,15.05,16.0,"NA","NA",15.77,16.9,"NA","NA",8.33,8.33,21.98,21.98,10.9,10.6,15.55,16.6,"NA",7.3,6.36,7.3,9.19,8.9,"NA","NA","NA","NA",9.28,9.2,"NA","NA","NA","NA","NA","NA",16.2,"NA","NA","NA","NA","NA","NA",2.5,180.67,193.3,"NA","NA","NA",7.9,"NA","NA",14.21,21.2,73.88,77.9,"NA",64.1,40.0,47.7
" Assam",17.37,18.43,"NA","NA","NA","NA",7.23,7.23,"NA","NA",4.7,5.1,10.87,11.8,"NA","NA",17.12,18.2,5.0,5.0,7.1,7.2,5.53,5.53,5.6,5.6,16.62,17.6,"NA","NA",5.63,5.63,5.25,5.8,5.17,5.17,4.17,4.17,5.26,5.8,0.8,"NA",19.72,18.1,7.27,9.1,15.5,"NA","NA","NA","NA","NA",15.1,15.2,390.77,362.0,"NA",5.3,6.8,8.5,"NA",19.8,6.4,7.4,"NA",71.9,"NA",53.7,7.26,8.3
" Bihar",11.2,10.95,10.59,10.65,11.0,11.0,23.41,22.3,8.08,8.0,7.5,7.6,20.84,19.5,11.22,12.6,15.95,15.4,10.14,11.9,15.13,14.0,16.29,16.29,8.36,8.8,15.3,14.8,17.5,10.0,7.79,7.79,10.08,10.3,8.46,8.9,10.0,9.5,10.42,10.5,"NA","NA",16.38,16.38,17.07,15.2,4.4,"NA","NA","NA","NA","NA",45.6,47.6,434.22,514.7,"NA",19.0,17.2,18.4,"NA","NA",10.34,10.3,24.11,15.0,"NA","NA",10.0,10.0
"Chhattisgarh",11.2,23.58,12.55,14.41,"NA","NA",13.99,18.07,2.65,2.8,1.83,2.1,10.86,11.4,7.74,5.3,10.89,15.9,8.8,9.6,5.1,4.4,8.53,8.53,6.04,6.2,10.08,14.2,13.53,14.6,4.41,3.3,4.19,4.1,3.0,2.6,"NA",2.9,6.07,6.9,2.55,"NA","NA","NA",3.21,3.6,"NA","NA","NA","NA","NA","NA","NA",23.8,23.55,26.3,"NA","NA","NA",14.5,"NA","NA",3.4,5.0,"NA",13.2,"NA",90.0,8.57,8.5
" Goa",21.36,24.67,"NA","NA","NA","NA",60.0,"NA",10.0,5.0,"NA",30.8,"NA","NA","NA","NA",21.39,28.7,"NA","NA","NA","NA",18.43,18.43,10.76,10.6,19.87,27.8,27.78,28.6,"NA","NA","NA","NA","NA","NA","NA","NA",27.93,28.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.7,581.11,545.6,"NA","NA","NA","NA",2.68,2.6,"NA","NA","NA","NA","NA",34.4,"NA","NA"
" Gujarat",19.03,18.52,10.49,11.12,12.32,12.5,10.72,16.37,7.86,7.0,9.83,11.2,26.79,31.6,"NA","NA",17.71,21.0,9.47,11.4,9.06,9.9,11.47,11.47,7.05,8.1,15.6,18.4,9.64,18.6,3.56,4.4,15.79,15.7,"NA","NA",19.74,20.1,11.09,16.9,5.51,6.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",61.0,61.5,805.19,724.2,"NA",19.0,27.6,28.8,"NA","NA",8.91,12.4,21.05,158.8,"NA",67.6,141.0,147.0
" Haryana",30.08,27.89,5.0,5.0,15.93,17.93,22.5,19.0,"NA","NA","NA","NA",42.13,46.2,32.62,34.9,34.61,36.3,7.38,9.8,10.45,10.8,13.33,13.33,7.58,9.0,33.83,35.3,10.0,10.0,3.33,4.0,16.55,18.7,"NA","NA",12.5,12.0,16.45,18.6,6.46,6.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",720.95,710.8,"NA","NA",21.5,22.3,"NA","NA",8.57,95.3,110.0,125.6,"NA","NA",230.0,91.7
" Himachal Pradesh",13.81,16.73,"NA","NA",8.26,5.0,18.39,22.63,8.15,9.1,3.53,6.0,9.28,15.3,7.64,12.4,13.22,18.1,5.71,10.0,"NA","NA",17.59,17.59,6.81,12.1,12.97,17.9,6.7,7.4,1.04,3.4,2.87,5.3,2.25,2.7,"NA","NA",2.71,5.1,0.38,"NA","NA","NA","NA","NA",2.6,"NA","NA","NA","NA","NA","NA",3.4,207.27,225.3,"NA","NA","NA",13.5,"NA","NA",2.58,14.5,87.94,76.9,"NA","NA",5.26,5.3
" Jammu & Kashmir",19.14,19.42,5.68,5.26,6.29,5.98,15.66,17.12,"NA","NA",5.05,4.9,10.03,15.4,5.52,6.5,14.36,16.7,5.0,5.5,"NA","NA",11.72,11.72,4.56,5.8,14.05,16.4,"NA","NA",4.39,4.39,7.88,8.5,5.78,8.0,"NA","NA",7.63,8.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20.0,16.7,"NA","NA","NA",19.0,"NA","NA",10.0,10.0,"NA","NA","NA","NA","NA","NA"
"Jharkhand",15.46,15.41,5.0,3.63,5.74,7.04,11.69,12.15,5.48,5.2,4.78,4.78,17.38,16.4,9.24,"NA",14.81,14.5,9.14,10.5,8.71,6.9,12.41,12.41,7.09,7.7,13.3,12.6,7.56,9.1,3.03,3.6,5.78,6.5,4.27,5.2,70.0,4.8,5.63,6.3,"NA","NA","NA","NA",9.0,"NA","NA","NA","NA","NA","NA","NA","NA",20.1,687.69,692.9,"NA","NA",15.0,15.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Karnataka",24.82,27.19,10.27,11.8,5.02,10.81,24.3,34.5,17.15,20.2,4.07,5.1,8.87,10.9,"NA","NA",17.96,22.6,5.91,6.6,4.67,5.9,6.92,6.92,4.51,5.6,13.77,16.8,6.26,8.6,4.08,5.9,4.0,5.0,3.33,3.6,6.67,8.4,5.02,7.8,3.23,3.7,"NA","NA",1.8,0.9,29.4,"NA","NA","NA","NA","NA",20.4,20.4,903.35,937.5,"NA",10.7,5.7,10.0,2.22,3.7,11.29,11.5,4.33,28.6,"NA",35.7,46.41,61.4
" Kerala",25.57,24.52,7.5,5.0,"NA","NA","NA","NA",6.83,6.7,10.0,"NA","NA","NA","NA","NA",25.34,24.3,"NA","NA",14.96,14.96,16.52,16.52,9.91,7.8,24.7,24.0,7.63,12.7,3.29,4.0,"NA","NA","NA","NA","NA","NA",6.32,10.3,2.21,"NA","NA","NA","NA","NA",19.3,"NA","NA","NA","NA","NA",7.92,8.2,950.0,955.2,"NA","NA","NA","NA",2.64,2.3,9.69,16.2,43.98,52.6,"NA",50.7,23.71,25.5
" Madhya Pradesh",8.72,11.06,12.67,14.26,14.95,18.98,12.56,12.66,2.5,2.5,2.74,3.5,19.67,17.6,12.97,13.1,15.58,15.0,10.71,8.6,8.51,3.4,8.98,8.98,8.71,6.6,12.85,11.6,11.58,15.0,4.28,4.9,10.74,11.5,4.36,3.4,2.86,4.0,11.29,11.4,2.38,5.2,"NA",6.4,4.2,3.6,"NA","NA","NA","NA","NA","NA",44.2,45.2,408.21,409.7,"NA",4.3,10.0,12.0,"NA","NA",7.74,16.6,1.98,12.4,"NA","NA",8.0,4.0
" Maharashtra",14.85,17.76,8.54,8.54,7.41,10.85,23.02,29.2,9.08,9.8,3.9,4.9,16.1,17.6,4.81,5.0,11.69,13.7,8.63,9.0,8.41,7.5,7.86,7.86,7.02,7.7,10.39,11.8,11.18,13.0,2.73,3.6,3.33,3.8,2.5,2.6,2.86,4.0,7.25,13.9,2.85,3.7,"NA","NA",2.6,2.8,"NA","NA","NA","NA","NA","NA",61.2,52.5,848.66,848.66,"NA",10.0,"NA",17.7,"NA","NA",4.58,4.6,36.23,9.8,"NA",57.1,12.47,12.47
" Manipur",18.89,24.53,"NA","NA","NA","NA",24.36,18.56,"NA","NA","NA","NA","NA",25.0,"NA","NA",19.04,24.0,"NA","NA","NA","NA",9.99,9.99,4.97,9.0,17.96,22.4,"NA",6.1,10.0,4.4,5.0,7.8,"NA","NA","NA","NA",7.78,7.7,"NA","NA","NA","NA","NA","NA",0.7,"NA","NA","NA","NA","NA","NA",1.0,355.0,579.4,"NA","NA","NA",8.9,"NA","NA",6.0,6.0,216.5,16.0,"NA","NA","NA",117.1
" Meghalaya",19.11,19.12,"NA","NA","NA","NA",15.29,14.99,"NA","NA",8.0,7.6,17.73,17.9,"NA","NA",18.39,18.4,6.2,5.0,7.84,7.5,16.3,16.3,8.72,8.5,18.09,18.0,"NA","NA",5.36,5.7,6.8,6.8,"NA","NA","NA","NA",7.01,7.01,1.35,"NA",15.9,15.9,7.97,7.97,3.7,"NA","NA","NA","NA","NA","NA",11.7,26.23,20.0,"NA",6.7,"NA",9.2,5.21,5.2,7.52,7.7,37.02,57.0,"NA","NA",50.86,51.1
" Mizoram",9.41,11.6,"NA","NA","NA","NA",13.53,15.08,"NA","NA","NA","NA","NA","NA","NA","NA",10.04,12.2,"NA","NA","NA","NA",35.08,35.08,16.67,15.3,10.47,12.5,"NA","NA",6.54,5.9,7.5,7.5,"NA","NA","NA","NA",10.71,12.0,6.38,"NA","NA","NA","NA","NA",0.9,"NA","NA","NA","NA","NA","NA",11.8,88.57,56.4,"NA",6.3,"NA",12.5,14.0,1.7,6.15,55.0,34.11,50.0,"NA","NA",41.42,50.0
" Nagaland",14.25,21.02,5.0,11.0,"NA",8.57,10.75,19.58,"NA",9.3,3.61,9.6,12.0,17.1,"NA","NA",12.85,20.1,6.67,7.1,7.0,8.4,21.2,21.2,10.36,10.6,12.56,19.0,7.86,10.0,5.0,6.1,8.0,10.0,6.89,8.1,"NA",6.7,8.35,10.4,0.76,"NA",2.77,3.2,"NA",3.4,0.9,"NA","NA","NA","NA","NA","NA",21.9,299.8,430.0,"NA","NA","NA",6.7,"NA",0.5,12.5,12.5,57.89,66.6,"NA",3.3,50.0,41.7
" Orissa ",15.85,16.16,6.44,6.07,6.07,6.36,21.56,25.49,6.39,7.1,5.67,4.6,14.5,14.6,"NA","NA",15.76,16.2,7.49,7.8,8.41,9.2,7.57,7.57,4.61,4.9,13.97,14.3,11.69,11.8,2.31,2.2,2.11,2.11,4.51,4.6,6.29,6.1,5.89,6.2,4.64,5.8,18.87,20.4,8.49,8.7,"NA","NA","NA","NA","NA","NA","NA",18.2,612.38,689.1,"NA",8.6,"NA",13.6,"NA","NA",8.4,8.6,"NA",19.4,"NA",37.3,24.05,137.1
" Punjab",40.1,38.28,10.0,"NA",13.33,10.0,34.17,36.92,"NA","NA",3.45,"NA",43.07,46.9,33.57,36.7,41.54,42.9,11.33,12.9,9.57,9.3,17.12,17.12,8.96,9.1,41.44,42.8,12.4,17.7,3.56,4.0,13.0,13.2,5.0,"NA","NA","NA",13.54,13.4,6.67,6.67,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",56.8,616.67,595.7,"NA","NA",25.5,25.0,"NA","NA",16.58,16.7,"NA","NA","NA","NA","NA","NA"
" Rajasthan",15.15,20.25,1.45,7.0,3.94,8.32,10.44,17.96,"NA","NA",1.39,5.4,31.33,29.1,27.74,29.1,11.91,15.1,6.04,9.0,3.83,7.6,10.19,10.19,2.04,6.9,9.31,12.5,10.87,19.6,1.62,4.1,12.76,11.9,20.06,12.4,7.35,14.2,10.66,12.0,3.45,4.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.4,574.17,668.9,"NA",10.2,"NA",7.2,"NA","NA",13.18,10.8,22.22,21.9,"NA","NA",25.77,25.6
" Sikkim ",18.69,17.27,"NA","NA","NA","NA",16.71,16.48,11.63,9.7,9.09,11.5,11.35,10.2,12.0,9.4,16.01,15.6,"NA","NA","NA","NA",19.53,19.53,9.77,9.0,14.96,14.5,"NA","NA","NA","NA",9.14,7.9,"NA","NA","NA","NA",9.59,8.3,"NA","NA","NA","NA","NA","NA",4.0,"NA","NA","NA","NA","NA","NA",1.9,"NA","NA","NA","NA","NA",4.9,"NA","NA","NA","NA",53.18,53.9,"NA","NA",34.33,34.9
" Tamil Nadu",30.7,30.4,9.29,10.14,15.13,15.64,46.86,44.58,19.76,22.6,9.4,10.4,"NA",5.0,"NA","NA",29.25,29.0,6.08,6.7,7.66,6.6,6.94,6.94,3.82,3.9,24.77,23.9,21.55,23.2,4.66,5.3,3.33,2.3,"NA","NA",3.06,3.06,18.98,20.8,3.68,6.3,"NA","NA","NA","NA",22.2,"NA","NA","NA","NA","NA",43.8,65.8,1014.52,1083.9,"NA",15.1,"NA",20.6,2.29,2.0,6.17,5.5,189.89,183.6,"NA",94.7,55.38,54.0
" Tripura",26.07,26.55,"NA","NA","NA","NA",10.06,13.22,"NA","NA","NA","NA",19.84,20.3,"NA","NA",25.92,26.4,6.67,6.67,7.25,7.5,13.95,13.95,7.03,7.03,25.44,25.9,10.95,11.7,5.7,5.9,7.67,7.5,"NA","NA","NA","NA",7.2,7.2,2.53,"NA",14.53,15.3,13.02,14.6,7.6,"NA","NA","NA","NA","NA","NA",16.1,510.96,516.5,"NA",5.0,"NA",17.6,"NA",6.3,12.61,15.9,52.39,40.7,"NA",13.8,41.18,50.9
" Uttar Pradesh",20.84,21.2,8.85,10.3,16.38,16.65,14.65,14.77,13.33,"NA",12.86,6.7,28.46,31.1,21.17,20.6,24.61,26.1,8.24,9.3,6.62,9.0,13.51,13.51,7.48,8.3,22.36,23.9,6.7,9.9,1.02,2.0,11.13,11.9,4.41,4.5,"NA","NA",7.53,8.3,1.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",37.41,41.5,592.51,567.3,"NA",30.7,24.9,24.4,"NA","NA",9.97,8.8,24.88,28.5,"NA","NA",30.0,30.0
" Uttarakhand",20.68,19.01,"NA","NA","NA","NA",13.57,15.01,12.35,13.3,9.72,12.1,21.39,23.2,10.83,12.5,18.52,19.1,10.0,7.9,10.0,7.1,13.78,13.78,7.19,8.5,17.8,18.4,20.0,10.9,5.0,2.3,8.0,8.0,"NA","NA","NA","NA",11.38,10.1,"NA","NA","NA","NA","NA","NA",1.2,"NA","NA","NA","NA","NA","NA","NA",608.54,609.0,"NA","NA","NA",17.5,"NA","NA","NA",36.0,80.0,79.8,"NA","NA","NA",87.1
" West Bengal",25.47,26.39,4.27,4.0,4.34,3.75,39.42,39.77,11.8,11.8,10.59,9.9,26.8,27.6,14.12,13.8,25.73,26.6,11.1,10.7,7.5,14.2,15.27,15.27,8.26,9.0,25.22,26.0,17.15,16.6,8.24,9.2,10.8,10.2,2.95,3.4,"NA",6.0,10.65,10.5,4.3,"NA",27.32,25.8,25.03,22.1,19.4,"NA","NA","NA","NA","NA",23.96,23.96,725.22,756.1,"NA",14.9,24.0,33.0,"NA","NA",14.99,15.1,21.41,21.4,"NA",85.7,23.25,24.2
" A. & N. Islands",30.74,28.51,"NA","NA","NA","NA",20.0,24.76,"NA","NA","NA","NA","NA","NA","NA","NA",30.48,28.4,"NA","NA",6.67,"NA",6.15,6.15,6.21,4.4,24.2,22.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.5,200.0,115.0,"NA","NA","NA","NA",0.82,2.0,20.0,14.6,90.05,87.7,"NA",30.1,"NA",60.3
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli",10.8,19.3,8.0,11.01,"NA","NA","NA","NA",10.55,10.55,5.0,10.0,15.0,22.3,"NA","NA",10.78,18.7,7.98,10.0,8.0,8.0,16.5,16.5,8.28,9.0,10.08,15.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.0,7.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman & Diu",16.5,16.5,"NA","NA",16.67,13.33,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.52,16.1,"NA","NA","NA","NA",8.46,8.46,8.46,8.46,13.61,13.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",42.65,41.8,9.64,9.66,"NA",18.52,"NA",360.0,"NA","NA","NA","NA",43.52,43.4,"NA",27.0,39.8,39.4,"NA","NA",17.5,17.5,"NA","NA",20.0,16.1,39.55,39.1,"NA","NA","NA","NA",12.56,13.0,"NA","NA","NA","NA",12.56,13.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",148.1,"NA","NA"
" Puducherry",25.07,25.96,15.0,"NA",10.0,23.24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",25.04,26.0,"NA","NA","NA","NA",9.0,9.0,1.55,5.0,22.99,23.5,21.03,19.6,8.1,8.0,"NA","NA","NA","NA","NA","NA",18.33,16.8,13.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",25.0,1373.89,1573.3,"NA","NA","NA","NA",5.83,10.0,"NA",20.0,"NA","NA","NA",95.2,"NA","NA"
