" Year/State/ Union Territory","Geographical Area 2009","Geographical Area 2011","Actual Forest Cover 2009","Actual Forest Cover 2011","Very Dense Forest 2009","Very Dense Forest 2011","Moderately Dense 2009","Moderately Dense 2011","Open Forest 2009","Open Forest 2011","  Mangrove    2009","  Mangrove    2011","  Scrub 2009","  Scrub 2011","    Non-Forest 2009","    Non-Forest 2011"
" Andhra Pradesh",275069.0,275069.0,45102.0,90671.0,820.0,850.0,24757.0,26242.0,19525.0,19297.0,353.0,352.0,10372.0,10768.0,219595.0,173630.0
" Arunachal Pradesh",83743.0,83743.0,67353.0,113905.0,20858.0,20868.0,31556.0,31519.0,14939.0,15023.0,"NA","NA",111.0,122.0,16279.0,-30284.0
" Assam",78438.0,78438.0,27692.0,53904.0,1461.0,1444.0,11558.0,11404.0,14673.0,14825.0,"NA","NA",179.0,182.0,50567.0,24352.0
" Bihar",94163.0,94163.0,6804.0,13418.0,231.0,231.0,3248.0,3280.0,3325.0,3334.0,"NA","NA",134.0,134.0,87225.0,80611.0
" Chhattisgarh",135191.0,135191.0,55870.0,107382.0,4162.0,4163.0,35038.0,34911.0,16670.0,16600.0,"NA","NA",107.0,119.0,79214.0,27690.0
" Delhi",1483.0,1483.0,177.0,176.0,7.0,7.0,50.0,49.0,120.0,120.0,"NA","NA",1.0,0.7,1305.0,1306.3
" Goa ",3702.0,3702.0,2151.0,3859.0,511.0,543.0,624.0,585.0,1016.0,1091.0,17.0,22.0,1.0,0.0,1550.0,-157.0
" Gujarat",196022.0,196022.0,14620.0,28863.0,376.0,376.0,5249.0,5231.0,8995.0,9012.0,1046.0,1058.0,1463.0,1479.0,179939.0,165680.0
" Haryana",44212.0,44212.0,1594.0,3175.0,27.0,27.0,463.0,457.0,1104.0,1124.0,"        NA","        NA",145.0,150.0,42473.0,40887.0
" Himachal Pradesh",55673.0,55673.0,14668.0,26123.0,3224.0,3224.0,6383.0,6381.0,5061.0,5074.0,"        NA","        NA",327.0,328.0,40678.0,29222.0
" Jammu & Kashmir",222236.0,222236.0,22686.0,40927.0,4298.0,4140.0,8977.0,8760.0,9411.0,9639.0,"        NA","        NA",2036.0,2105.0,197514.0,179204.0
" Jharkhand",79714.0,79714.0,22894.0,43281.0,2590.0,2590.0,9899.0,9917.0,10405.0,10470.0,"        NA","        NA",683.0,683.0,56137.0,35750.0
" Karnataka",191791.0,191791.0,36190.0,70607.0,1777.0,1777.0,20181.0,20179.0,14232.0,14238.0,3.0,3.0,3176.0,3175.0,152425.0,118009.0
" Kerala",38863.0,38863.0,17324.0,33181.0,1443.0,1442.0,9410.0,9394.0,6471.0,6464.0,5.0,6.0,58.0,58.0,21481.0,5624.0
" Madhya Pradesh",308245.0,308245.0,77700.0,148753.0,6647.0,6640.0,35007.0,34986.0,36046.0,36074.0,"        NA","        NA",6401.0,6396.0,224144.0,153096.0
" Maharashtra",307713.0,307713.0,50650.0,92557.0,8739.0,8736.0,20834.0,20815.0,21077.0,21095.0,186.0,186.0,4157.0,4157.0,252906.0,210999.0
" Manipur",22327.0,22327.0,17280.0,33669.0,701.0,730.0,5474.0,6151.0,11105.0,10209.0,"        NA","        NA",1.0,1.0,5046.0,-11343.0
" Meghalaya ",22429.0,22429.0,17321.0,34186.0,410.0,433.0,9501.0,9775.0,7410.0,7067.0,"        NA","        NA",211.0,485.0,4897.0,-12242.0
" Mizoram",21081.0,21081.0,19240.0,38223.0,134.0,134.0,6251.0,6086.0,12855.0,12897.0,"        NA","        NA",1.0,1.0,1840.0,-17143.0
" Nagaland",16579.0,16579.0,13464.0,25508.0,1274.0,1293.0,4897.0,4931.0,7293.0,7094.0,"        NA","        NA",2.0,3.0,3113.0,-8932.0
" Orissa",155707.0,155707.0,48855.0,90685.0,7073.0,7060.0,21394.0,21366.0,20388.0,20477.0,221.0,222.0,4852.0,4734.0,102000.0,60288.0
" Punjab",50362.0,50362.0,1664.0,3428.0,"NA",0.0,733.0,736.0,931.0,1028.0,"        NA","        NA",20.0,37.0,48678.0,46897.0
" Rajasthan",342239.0,342239.0,16036.0,32051.0,72.0,72.0,4450.0,4448.0,11514.0,11567.0,"        NA","        NA",4347.0,4357.0,321856.0,305831.0
" Sikkim",7096.0,7096.0,3357.0,6216.0,500.0,500.0,2161.0,2161.0,696.0,698.0,"        NA","        NA",356.0,363.0,3383.0,517.0
" Tamil Nadu",130058.0,130058.0,23338.0,44037.0,2926.0,2948.0,10216.0,10321.0,10196.0,10356.0,39.0,39.0,1206.0,1160.0,105514.0,84861.0
" Tripura",10486.0,10486.0,8073.0,15939.0,111.0,109.0,4770.0,4686.0,3192.0,3182.0,"        NA","        NA",75.0,72.0,2338.0,-5525.0
" Uttar Pradesh",240928.0,240928.0,14341.0,27053.0,1626.0,1626.0,4563.0,4559.0,8152.0,8153.0,"        NA","        NA",745.0,745.0,225842.0,213130.0
" Uttarakhand",53483.0,53483.0,24495.0,44229.0,4762.0,4762.0,14165.0,14167.0,5568.0,5567.0,"        NA","        NA",271.0,271.0,28717.0,8983.0
" West Bengal",88752.0,88752.0,12994.0,23002.0,2987.0,2984.0,4644.0,4646.0,5363.0,5365.0,2152.0,2155.0,29.0,29.0,75729.0,65721.0
" A.& N. Islands",8249.0,8249.0,6662.0,6724.0,3762.0,3761.0,2405.0,2416.0,495.0,547.0,615.0,617.0,53.0,57.0,1534.0,1468.0
" Chandigarh",114.0,114.0,17.0,17.0,1.0,1.0,10.0,10.0,6.0,6.0,"NA","NA",1.0,0.54,96.0,96.46
" D.& N. Haveli",491.0,491.0,211.0,211.0,"NA","NA",114.0,114.0,97.0,97.0,"NA","NA",1.0,1.0,279.0,279.0
" Daman & Diu ",112.0,112.0,6.0,6.0,"NA","NA",1.0,0.62,5.0,5.53,1.0,1.56,3.0,3.1,103.0,102.9
" Lakshadweep",32.0,32.0,26.0,27.0,"NA","NA",16.0,17.18,10.0,9.88,"NA","NA","NA","NA",6.0,5.0
" Puducherry",480.0,480.0,44.0,50.0,"NA","NA",13.0,35.37,31.0,14.69,1.0,1.0,"NA","NA",436.0,430.0
